"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"ARMC6",8.536869759,7.172281128,9.345067783,7.990651845,8.382116268,8.955528522,8.381727908,8.262813882,7.496887521,7.655241071,7.461658211
"ARPC1A",10.12892335,10.44673206,9.99019087,10.8046883,10.2766219,10.32512012,10.1071657,10.03634259,10.09655164,10.07288129,10.28552624
"ARRDC4",6.834459535,6.270718685,7.771502525,5.789573723,6.549619474,6.870351607,6.743964236,6.966219763,7.271222627,6.56895039,6.726199243
"ARSJ",5.036474875,4.812616465,5.053346104,5.045717033,4.712589665,5.406696615,5.081588762,4.79893516,4.894171823,5.265736811,5.009406692
"ASAP2",6.202579458,5.882172772,5.791938697,6.687538409,6.217222484,5.287196218,6.118592627,5.879675242,5.562530676,6.349316826,5.231983505
"ASH1L",5.066012538,4.817895355,5.185406158,4.628019972,4.80185309,4.927251264,4.51473697,4.612778124,4.937799803,4.842866272,4.951660185
"ASL",10.20332724,10.33524616,9.311285654,7.896018658,9.800985104,10.12714789,9.124902145,9.24467186,9.157316843,9.537620301,9.411829885
"ASPA",4.911970942,4.843870354,6.479843875,6.770724388,5.904848926,6.879292466,5.33423816,6.481637552,5.415164959,4.825073195,5.392997395
"ASPH",5.695627339,5.899420629,5.867861306,6.285314199,5.628712626,5.369266832,6.082756266,6.238337361,6.298817054,5.148754425,5.587326229
"ASPM",4.76396843,6.470721676,5.717330339,8.781703814,5.709970747,4.803090882,4.766170702,6.117175752,5.289355639,5.030923295,5.900184668
"ASS1",14.40421508,13.76277255,13.85468098,14.07094961,14.32467713,14.11384894,13.43111535,14.06347665,12.44755069,13.73034972,13.96335229
"ASXL2",8.672944493,8.48743964,8.3711168,8.826378322,8.573411189,8.316335125,8.301642256,8.228896504,8.300725234,8.165722293,8.230219774
"ATAD2",6.468959518,7.34708592,6.875783433,7.674976331,6.859951506,6.731097242,6.993742833,7.289345132,6.716072518,6.308546882,7.509297871
"ATF2",6.08033782,6.727435162,6.009838038,6.974549166,6.381971965,6.406157259,6.595537252,6.546428767,6.845958385,6.534317352,6.431082357
"ATF5",13.18503779,11.01617395,12.49219165,12.98388344,11.83340493,12.39439381,13.40020405,13.07566606,12.74487239,12.69741312,12.45560136
"ATG12",9.233310141,9.589982123,9.496102283,9.904715699,9.590605211,9.566846314,10.17822917,9.559493536,9.739517254,10.88247902,9.436200017
"ATIC",10.48422095,10.79882655,10.25844835,10.97443439,10.55675486,10.78526957,10.74853378,10.48718209,10.88098254,10.86932455,10.65691168
"ATOH8",7.896018658,4.92418176,7.956885998,5.618900675,7.305793236,8.923379767,7.262408241,7.767196142,7.955748733,7.649408403,7.590527308
"ATP6AP1",11.19684561,10.89738025,10.75222735,11.83340493,11.09349714,10.75625356,11.13668459,10.81425253,11.21198685,11.30416877,10.92779111
"ATP6V1C2",4.644403302,4.467736039,4.453703978,4.796471221,4.654063991,4.582569238,4.685973404,4.812267755,4.524811756,4.586303433,4.594934954
"ATP6V1F",10.62171264,10.41652376,10.25604284,11.21198685,10.38987329,10.492124,10.32961794,10.22144719,10.87970951,10.78197054,10.46915341
"ATP6V1H",8.096754206,8.280733099,8.257918471,8.163532752,8.246482225,7.954640086,8.072792059,7.926194321,8.513445372,7.957632367,8.110095178
"AURKA",8.832153673,8.148888737,6.382576564,8.487007911,7.773426355,8.295133512,6.653410563,7.91489241,6.766238464,6.552634349,8.328589957
"AURKB",4.702453594,4.987789578,5.148987075,8.000676279,5.186947133,4.79346073,4.980032937,5.119926601,5.371801969,4.791719851,5.547674657
"AVL9",6.353655208,6.332137369,5.836190876,5.71657815,5.915935356,6.139125251,5.677305561,5.533099844,5.762481447,5.756624869,5.88855023
"AVPR1A",4.960567957,5.443939984,5.064056408,4.962316247,5.994181098,5.967522139,4.99314719,6.820857216,5.478326295,5.097510159,4.6825277
"AXIN1",7.513875209,7.50474179,7.336102608,8.167751462,7.68735189,7.904012125,7.900545111,8.373282902,7.780525666,8.268554559,8.499491709
"AXIN2",5.478498195,4.426074989,5.808548283,4.806880203,6.127317066,6.150811549,7.398333897,6.216349017,5.202728335,4.542610155,6.019401507
"AXL",8.75779916,7.210367547,9.19680835,6.597766959,8.750009473,8.83603645,8.59289709,8.507673857,7.904012125,9.222884851,8.410261987
"B3GALNT2",5.135965496,5.837229588,5.229605441,5.367702995,5.749834413,5.756380937,5.554195087,5.733543779,5.274057836,5.759636021,5.344334379
"B4GALT3",8.367733117,7.916846119,7.894909339,8.656856352,8.298592131,8.452312724,8.544365939,8.020705415,8.520765378,8.518254509,8.232567331
"BACE2",6.148158498,6.416170895,6.266329129,9.376388375,5.730942628,6.630704942,5.835929554,5.142284741,6.943266798,5.93326475,5.286923495
"BAD",7.984918227,7.80974325,8.221921937,8.516922795,8.425454683,8.261951652,8.12536654,8.277027784,8.265689973,7.476664555,7.931422618
"BAK1",5.63915113,5.17638406,5.297982667,5.189985109,5.129010125,5.233905638,5.645182282,5.419368999,5.656357744,5.586718092,5.08416159
"BANF1",10.20843747,10.78526957,10.2422025,10.7098517,10.57534597,10.77360701,10.74982227,11.03040074,10.84537878,10.60006031,10.87060241
"BAP1",6.759698969,7.132327704,7.152827946,7.172608525,7.301131274,7.199300877,7.2648484,7.177826877,7.329595174,7.860756029,7.165729878
"BARD1",5.530105187,6.180773105,6.130893425,7.79768879,6.021207761,5.362201035,5.712202224,6.787494046,6.341126029,6.640749412,6.340259982
"BAX",6.580468539,6.127834953,7.046631303,6.613246735,6.515101376,6.960082032,7.01357882,6.460788033,8.414046115,7.29041572,6.957498285
"BAZ1B",8.419195322,7.90816553,8.096754206,8.539309098,8.30533291,8.134853357,8.349633144,8.265245296,8.016564972,8.366003123,8.275714204
"BBOX1",7.951483101,9.685247336,9.555605291,7.430096726,8.319510094,10.10806281,6.704891956,6.847456094,7.817399679,8.448553045,8.500992671
"BCAP31",11.268875,11.44431273,11.20279794,11.80746945,10.82017453,10.98491324,11.18512385,11.00555214,11.61658006,11.2844856,11.09061868
"BCHE",10.7098517,11.60751818,11.82505252,9.081099273,10.97725935,10.56745262,10.2828424,9.964347596,7.328185626,9.587389008,11.21969634
"BCL2L1",10.54498964,9.976400601,10.06062982,10.41164072,10.4781377,10.54303899,10.4157311,10.16220967,10.54697577,11.29634348,10.97011948
"BCO2",4.552993617,5.05125966,5.655468904,4.623515691,4.680211713,5.67278431,4.932912059,4.630835612,4.514057623,5.824422996,4.70969915
"BDH2",5.48485762,5.152006621,5.495445574,4.580867091,4.932191826,4.821919854,4.83872597,5.086897095,4.954702725,4.791470923,4.732459635
"BDP1",5.537793195,5.723705543,5.382378671,5.949952922,5.890606771,5.480961772,5.673817045,6.085391189,4.806752299,5.577059863,5.48559141
"BEST1",5.104110443,5.104509803,5.370103651,6.531127363,5.670087858,5.007082442,5.585263414,4.814848138,6.507635608,5.699040441,5.224289448
"BHLHE40",11.81509645,10.84911316,12.06116798,10.4267168,10.7746901,11.26170068,10.63965132,12.7969772,11.6204048,12.34660898,12.26886494
"BHMT",12.32516535,12.3837334,12.75233178,12.01976834,13.07566606,12.97612793,13.58368027,13.63280846,10.61808681,11.82118996,12.86792889
