"","ENSEMBL","SYMBOL","ENTREZID"
"592","ENSG00000042813","ZPBP","11055"
"593","ENSG00000042832","TG","7038"
"594","ENSG00000042980","ADAM28","10863"
"595","ENSG00000043039","BARX2","8538"
"596","ENSG00000043093","DCUN1D1","54165"
"597","ENSG00000043143","JADE2","23338"
"598","ENSG00000043355","ZIC2","7546"
"599","ENSG00000043462","LCP2","3937"
"600","ENSG00000043514","TRIT1","54802"
"601","ENSG00000043591","ADRB1","153"
"602","ENSG00000044012","GUCA2B","2981"
"603","ENSG00000044090","CUL7","9820"
"604","ENSG00000044115","CTNNA1","1495"
"605","ENSG00000044446","PHKA2","5256"
"606","ENSG00000044459","CNTLN","54875"
"607","ENSG00000044524","EPHA3","2042"
"608","ENSG00000044574","HSPA5","3309"
"609","ENSG00000046604","DSG2","1829"
"610","ENSG00000046647","GEMIN8","54960"
"611","ENSG00000046651","OFD1","8481"
"612","ENSG00000046653","GPM6B","2824"
"613","ENSG00000046774","MAGEC2","51438"
"614","ENSG00000046889","PREX2","80243"
"615","ENSG00000047056","WDR37","22884"
"616","ENSG00000047188","YTHDC2","64848"
"617","ENSG00000047230","CTPS2","56474"
"618","ENSG00000047249","ATP6V1H","51606"
"619","ENSG00000047315","POLR2B","5431"
"620","ENSG00000047346","ATOSA","56204"
"621","ENSG00000047365","ARAP2","116984"
"622","ENSG00000047410","TPR","7175"
"623","ENSG00000047457","CP","1356"
"624","ENSG00000047578","KATNIP","23247"
"625","ENSG00000047579","DTNBP1","84062"
"626","ENSG00000047597","XK","7504"
"627","ENSG00000047617","ANO2","57101"
"628","ENSG00000047621","C12orf4","57102"
"629","ENSG00000047634","SCML1","6322"
"630","ENSG00000047644","WWC3","55841"
"631","ENSG00000047648","ARHGAP6","395"
"632","ENSG00000047662","FAM184B","27146"
"633","ENSG00000047849","MAP4","4134"
"634","ENSG00000047932","GOPC","57120"
"635","ENSG00000047936","ROS1","6098"
"636","ENSG00000048028","USP28","57646"
